-------------------------------------------------- Round 0 -------------------------------------------------- 
Efficient Network
Node 12: 597122.3088536425
Node 13: 597123.2259644156
Node 14: 597207.7702233661
Node 15: 597122.2414629305
Node 16: 597122.479388232
Node 17: 597122.2414629305
Node 18: 597122.7047243773
Node 19: 597123.142783663
Inefficient Network
Node 0: 597146.4900687879
Node 1: 597147.59031609
Node 2: 597146.4900687879
Node 3: 597146.4900687879
Node 4: 597149.0880238385
Node 5: 597146.4900687879
Node 6: 597148.1791308956
Node 7: 597149.0880238385
Node 8: 597146.4900687879
Node 9: 597146.4900687879
Node 10: 597148.1791308956
Node 11: 597149.8008071576
Node 12: 597147.59031609
Node 13: 597146.4900687879
Node 14: 597146.4900687879
Node 15: 597147.0532107224
Node 16: 597148.1791308956
Node 17: 597146.4900687879
Node 18: 597146.4900687879
Node 19: 597149.0880238385
-------------------------------------------------- Round 14 -------------------------------------------------- 
Efficient Network
Node 0: 597121.8903274357
Node 1: 597203.0260667738
Node 2: 597122.122079485
Node 3: 597122.2414629305
Node 4: 597121.8003073311
Node 5: 597121.7449840998
Node 6: 597203.3341517245
Node 7: 597122.0315850414
Node 8: 597121.3265300214
Node 9: 597121.962883527
Node 10: 597121.7030256825
Node 11: 597121.8903274357
Node 12: 597121.4482472696
Node 13: 597121.6007837404
Node 14: 597122.2414629305
Node 15: 597121.6428064823
Node 16: 597121.3949414258
Node 17: 597121.962883527
Node 18: 597122.0315850414
Node 19: 597121.5202873176
Inefficient Network
Node 0: 597146.4900687879
Node 1: 597146.4900687879
Node 2: 597144.8649282752
Node 3: 597144.8649282752
Node 4: 597143.8469517443
Node 5: 597144.8649282752
Node 6: 597145.3958826959
Node 7: 597145.3958826959
Node 8: 597146.4900687879
Node 9: 597143.8469517443
Node 10: 597143.8469517443
Node 11: 597143.8469517443
Node 12: 597146.4900687879
Node 13: 597146.4900687879
Node 14: 597144.8649282752
Node 15: 597144.8649282752
Node 16: 597145.8882641095
Node 17: 597146.4900687879
Node 18: 597143.8469517443
Node 19: 597145.3958826959
-------------------------------------------------- Round 15 -------------------------------------------------- 
Efficient Network
Node 0: 597120.8996326631
Node 1: 597199.6471206744
Node 2: 597120.8497677161
Node 3: 597120.7007771846
Node 4: 597120.8053566916
Node 5: 597121.0349212134
Node 6: 597199.8839986969
Node 7: 597120.7585673127
Node 8: 597121.1312805096
Node 9: 597120.5428489505
Node 10: 597120.8497677161
Node 11: 597121.0349212134
Node 12: 597120.587039871
Node 13: 597121.0878156017
Node 14: 597120.9671141414
Node 15: 597120.9671141414
Node 16: 597120.8996326631
Node 17: 597121.1859253915
Node 18: 597120.637575321
Node 19: 597121.2760945907
Inefficient Network
Node 0: 597143.8469517443
Node 1: 597143.8469517443
Node 2: 597143.3160414597
Node 3: 597143.3160414597
Node 4: 597143.3160414597
Node 5: 597143.3160414597
Node 6: 597143.8469517443
Node 7: 597143.3160414597
Node 8: 597143.3160414597
Node 9: 597143.3160414597
Node 10: 597143.8469517443
Node 11: 597143.8469517443
Node 12: 597143.8469517443
Node 13: 597143.8469517443
Node 14: 597143.8469517443
Node 15: 597143.3160414597
Node 16: 597143.3160414597
Node 17: 597143.8469517443
Node 18: 597143.8469517443
Node 19: 597143.3160414597
