-------------------------------------------------- Round 0 -------------------------------------------------- 
Efficient Network
Node 3: 14029.931497404352
Node 4: 14029.931497404352
Node 5: 14029.930430455106
Node 6: 14029.931497404352
Node 7: 14029.931497404352
Node 8: 14029.931497404352
Node 9: 14029.931497404352
Node 10: 14029.931497404352
Node 11: 14029.931497404352
Node 12: 14029.931497404352
Node 13: 14029.931497404352
Node 14: 14029.931497404352
Node 15: 14029.931497404352
Node 16: 14029.931497404352
Node 17: 14029.930430455106
Node 18: 14029.930430455106
Node 19: 14029.931497404352
-------------------------------------------------- Round 12 -------------------------------------------------- 
Efficient Network
Node 0: 14028.445760898465
Node 1: 14028.445669557806
Node 2: 14028.445641422251
Node 3: 14028.443160913597
Node 4: 14028.443191526298
Node 5: 14028.445669557806
Node 6: 14028.445669557806
Node 7: 14028.443160913597
Node 8: 14028.445669557806
Node 9: 14042.225927571028
Node 10: 14028.445669557806
Node 11: 14028.445669557806
Node 12: 14051.533026093515
Node 13: 14028.449378985304
Node 14: 14028.445669557806
Node 15: 14028.443899776235
Node 16: 14055.761375590107
Node 17: 14028.445669557806
Node 18: 14028.443160913597
Node 19: 14028.445700199778
Inefficient Network
Node 0: 14029.931497404352
Node 1: 14029.930430455106
Node 2: 14029.931497404352
Node 3: 14029.931497404352
Node 4: 14029.931497404352
Node 5: 14029.930430455106
Node 6: 14029.931497404352
Node 7: 14029.931497404352
Node 8: 14029.931497404352
Node 9: 14029.931497404352
Node 10: 14029.931497404352
Node 11: 14029.931497404352
Node 12: 14029.931497404352
Node 13: 14029.931497404352
Node 14: 14029.931497404352
Node 15: 14029.931497404352
Node 16: 14029.931497404352
Node 17: 14029.930430455106
Node 18: 14029.930430455106
Node 19: 14029.931497404352
-------------------------------------------------- Round 13 -------------------------------------------------- 
Efficient Network
Node 0: 14028.445760898465
Node 1: 14028.445669557806
Node 2: 14028.445669557806
Node 3: 14028.443160913597
Node 4: 14028.445669557806
Node 5: 14028.445669557806
Node 6: 14028.445669557806
Node 7: 14028.443160913597
Node 8: 14028.445669557806
Node 9: 14039.944282065639
Node 10: 14028.445669557806
Node 11: 14028.445669557806
Node 12: 14050.063966634996
Node 13: 14028.449378985304
Node 14: 14028.445669557806
Node 15: 14028.443899776235
Node 16: 14052.685915734117
Node 17: 14028.445669557806
Node 18: 14028.443160913597
Node 19: 14028.445700199778
Inefficient Network
Node 0: 14029.931497404352
Node 1: 14029.930430455106
Node 2: 14029.931497404352
Node 3: 14029.931497404352
Node 4: 14029.931497404352
Node 5: 14029.930430455106
Node 6: 14029.931497404352
Node 7: 14029.931497404352
Node 8: 14029.931497404352
Node 9: 14029.931497404352
Node 10: 14029.931497404352
Node 11: 14029.931497404352
Node 12: 14029.931497404352
Node 13: 14029.931497404352
Node 14: 14029.931497404352
Node 15: 14029.931497404352
Node 16: 14029.931497404352
Node 17: 14029.930430455106
Node 18: 14029.930430455106
Node 19: 14029.931497404352
-------------------------------------------------- Round 14 -------------------------------------------------- 
Efficient Network
Node 0: 14028.445760898465
Node 1: 14028.445669557806
Node 2: 14028.445669557806
Node 3: 14028.443160913597
Node 4: 14028.445669557806
Node 5: 14028.445669557806
Node 6: 14028.445669557806
Node 7: 14028.443160913597
Node 8: 14028.445669557806
Node 9: 14028.445669557806
Node 10: 14028.445669557806
Node 11: 14028.445669557806
Node 12: 14048.301713941477
Node 13: 14028.449378985304
Node 14: 14028.445669557806
Node 15: 14028.443899776235
Node 16: 14048.612304868995
Node 17: 14028.445669557806
Node 18: 14028.443160913597
Node 19: 14028.445700199778
Inefficient Network
Node 0: 14029.931497404352
Node 1: 14029.930430455106
Node 2: 14029.931497404352
Node 3: 14029.931497404352
Node 4: 14029.931497404352
Node 5: 14029.930430455106
Node 6: 14029.931497404352
Node 7: 14029.931497404352
Node 8: 14029.931497404352
Node 9: 14029.931497404352
Node 10: 14029.931497404352
Node 11: 14029.931497404352
Node 12: 14029.931497404352
Node 13: 14029.931497404352
Node 14: 14029.931497404352
Node 15: 14029.931497404352
Node 16: 14029.931497404352
Node 17: 14029.930430455106
Node 18: 14029.930430455106
Node 19: 14029.931497404352
-------------------------------------------------- Round 15 -------------------------------------------------- 
Efficient Network
Node 0: 14028.445760898465
Node 1: 14028.445669557806
Node 2: 14028.445669557806
Node 3: 14028.443160913597
Node 4: 14028.445669557806
Node 5: 14028.445669557806
Node 6: 14028.445669557806
Node 7: 14028.443160913597
Node 8: 14028.445669557806
Node 9: 14028.445669557806
Node 10: 14028.445669557806
Node 11: 14028.445669557806
Node 12: 14047.36252549565
Node 13: 14028.449378985304
Node 14: 14028.445669557806
Node 15: 14028.443899776235
Node 16: 14044.191467865272
Node 17: 14028.445669557806
Node 18: 14028.443160913597
Node 19: 14028.445700199778
Inefficient Network
Node 0: 14029.931497404352
Node 1: 14029.930430455106
Node 2: 14029.931497404352
Node 3: 14029.931497404352
Node 4: 14029.931497404352
Node 5: 14029.930430455106
Node 6: 14029.931497404352
Node 7: 14029.931497404352
Node 8: 14029.931497404352
Node 9: 14029.931497404352
Node 10: 14029.931497404352
Node 11: 14029.931497404352
Node 12: 14029.931497404352
Node 13: 14029.931497404352
Node 14: 14029.931497404352
Node 15: 14029.931497404352
Node 16: 14029.931497404352
Node 17: 14029.930430455106
Node 18: 14029.930430455106
Node 19: 14029.931497404352
